"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"ENTREV";"TAMUNI";"TIPO_TEL";"SEXO";"EDAD";"P0";"P1";"ECOPER";"ECOESP";"PESPANNA1";"PESPANNA2";"PESPANNA3";"PPERSONAL1";"PPERSONAL2";"PPERSONAL3";"PREFPTE";"INTENCIONG";"INTENCIONGALTER";"SIMPATIA";"PROBVOTO";"ESCIDEOL";"LIDERESCONOCE_1";"LIDERESCONOCE_2";"LIDERESCONOCE_3";"LIDERESCONOCE_4";"VALORALIDERES_1";"VALORALIDERES_2";"VALORALIDERES_3";"VALORALIDERES_4";"CONFIANZAPTE";"CONFIANZAOPOSIC";"CONOMINIS_1";"CONOMINIS_2";"CONOMINIS_3";"CONOMINIS_4";"CONOMINIS_5";"CONOMINIS_6";"CONOMINIS_7";"CONOMINIS_8";"CONOMINIS_9";"CONOMINIS_10";"CONOMINIS_11";"CONOMINIS_12";"CONOMINIS_13";"CONOMINIS_14";"CONOMINIS_15";"CONOMINIS_16";"CONOMINIS_17";"CONOMINIS_18";"CONOMINIS_19";"CONOMINIS_20";"CONOMINIS_21";"CONOMINIS_22";"VALMINIS_1";"VALMINIS_2";"VALMINIS_3";"VALMINIS_4";"VALMINIS_5";"VALMINIS_6";"VALMINIS_7";"VALMINIS_8";"VALMINIS_9";"VALMINIS_10";"VALMINIS_11";"VALMINIS_12";"VALMINIS_13";"VALMINIS_14";"VALMINIS_15";"VALMINIS_16";"VALMINIS_17";"VALMINIS_18";"VALMINIS_19";"VALMINIS_20";"VALMINIS_21";"VALMINIS_22";"PARTICIPACIONG";"RECUVOTOG";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"RELIGION";"PRACTICARELIG6";"ECIVIL";"SITLAB";"RELALAB";"CNO11";"INGRESHOG";"CLASESOCIAL";"SINCERIDAD";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_17";"IA_C2B_16";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"INTENCIONGR";"INTENCIONGALTERR";"VOTOSIMG";"RECUVOTOGR";"RECUERDO";"ESTUDIOS";"CNO11R";"CLASESUB";"PESO";"PESOCCAA"
3413;21696;995;1;4;0;3;0;3;2;1;40;1;4;2;5;11;16;22;8;20;98;8;3;2;0;10;5;1;1;1;1;1;6;3;7;4;2;7;7;1;7;1;7;1;7;1;7;7;7;7;1;7;7;7;7;1;7;7;7;0;0;5;0;7;0;6;0;1;0;0;0;0;1;0;0;0;0;8;0;0;0;1;3;9997;3;6;2;1;1;1;1;10;5;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;"";"";1;7;23;6;11;2;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;3;2;3;3;3;4;10;4;0,95032;0,9273
3413;45189;2144;1;4;0;3;0;3;2;2;32;1;2;2;4;8;51;76;8;76;51;97;9977;0;5;8;5;1;1;1;1;4;2;3;3;3;3;7;7;7;7;7;1;7;7;7;7;7;7;7;1;1;7;7;7;7;7;7;7;0;0;0;0;0;3;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;5;5;3;6;6;0;2;1;2;1;3;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;7;0;"";"";3;7;23;1;16;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;9977;0;9977;5;5;4;1;2;1,07519;0,96253
3413;139789;4003;1;4;0;3;0;3;2;1;71;1;3;3;4;24;1;98;52;97;99;2;2;3;0;10;10;1;1;1;1;1;9;1;6;4;1;7;1;1;1;1;1;1;1;1;7;1;7;7;1;1;7;1;1;1;1;7;7;0;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;1;0;0;1;5;2;3;7;2;3;1;2;0;0;5;11;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;1;"";"";5;7;23;3;16;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;3;2;5;5;5;12;6;0,94727;0,88346
3413;60461;2807;1;4;0;3;0;3;2;1;21;1;5;2;4;55;58;8;7;20;1;1;6;9997;0;5;5;1;7;1;1;5;0;2;3;4;0;7;7;7;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;2;0;6;0;3;4;0;0;9;99;3;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;23;0;0;0;0;19;2;"";"";3;7;23;1;11;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;6;9997;6;0;9997;1;16;9;1,13764;1,00803
3413;93676;3531;1;4;0;3;0;1;2;2;43;1;2;2;4;98;99;99;8;54;1;98;2;1;0;10;5;1;1;1;1;5;5;5;5;3;3;7;7;7;7;7;1;7;7;7;7;7;7;7;1;7;7;7;7;7;7;7;7;0;0;0;0;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2;3;4;1;3;1;1;1;5;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;3;0;"";"";4;7;23;2;10;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;1;2;1;1;3;5;2;1,22732;1,86108
3413;1188;45;1;4;0;3;0;2;2;2;75;1;1;5;2;1;3;99;75;3;99;1;2;8;0;10;7;1;7;7;7;7;0;0;0;3;0;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;0;3;4;3;3;0;0;5;98;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;29;0;0;0;0;28;1;"";"";30;6;23;5;16;3;1;0;0;1;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;21;2;2;2;1;15;8;2,01859;3,10339
3413;1243;47;1;4;13;2;0;5;2;2;47;1;3;2;4;51;25;99;25;6;22;96;2;9998;0;10;5;1;1;1;1;1;98;98;98;4;2;7;1;1;7;7;1;7;1;1;7;7;7;7;1;7;7;7;7;1;7;7;7;0;3;98;0;0;2;0;5;4;0;0;0;0;1;0;0;0;0;4;0;0;0;1;2;2;3;13;4;0;5;1;1;2;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;7;0;"";"";30;6;23;5;14;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;9998;2;2;2;6;2;2;0,9096;0,90534
3413;2020;81;1;4;13;2;0;5;2;1;60;1;1;2;4;8;26;1;1;8;97;2;2;9997;0;10;8;1;1;1;1;4;8;1;1;4;1;1;7;1;1;1;1;1;1;1;7;1;7;7;1;1;7;7;1;1;7;7;7;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;0;0;0;1;2;2;3;9;1;5;1;2;0;0;4;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;"";"";30;6;23;5;14;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;9997;2;2;2;6;12;2;0,89761;0,83603
3413;3824;157;1;4;13;2;0;5;2;1;48;1;3;4;5;35;24;98;8;9;98;2;2;9997;0;10;5;1;1;1;1;1;5;3;3;4;2;7;7;1;1;1;1;1;1;1;7;1;1;1;1;7;7;1;1;1;1;7;7;0;0;1;2;6;3;2;1;1;0;1;3;3;1;0;0;3;1;4;1;0;0;1;2;2;3;7;2;2;1;1;1;3;4;12;2;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;26;0;0;0;0;31;0;"";"";30;6;23;5;24;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;9997;2;2;2;5;3;5;0,88031;0,78998
3413;9891;411;1;4;13;2;0;5;2;1;34;1;3;2;4;35;13;8;35;46;8;97;3;8995;0;10;8;1;1;1;1;1;2;1;3;4;3;1;1;1;1;1;1;1;1;1;7;1;1;7;1;1;1;1;1;1;7;7;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;2;1;2;0;0;1;1;5;9997;3;13;2;3;2;1;2;1;2;2;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;1;1;"";"";30;6;23;5;16;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;8995;3;5;5;6;1;1;0,94348;0,80391
